fips	population	density
37147	179914	27205
37155	131831	14058
37159	141262	273
37163	63626	6728
37165	34810	11059
37167	62075	15469
37179	235908	35897
37181	44582	17546
37183	1092305	125303
37189	55945	17314
37191	123248	2242
37195	81455	22092
38015	95273	5741
38017	181516	987
38059	31095	1586
38069	4081	413
38071	11481	974
38099	10667	843
38101	67744	3429
39005	53745	12644
39007	97493	13981
39013	67505	12868
39017	382378	80995
39019	27081	6989
39023	134585	34014
39025	205466	44949
39027	42057	10251
39029	102665	19553
39031	36629	6486
39035	1243857	274236
39037	51323	865
39039	38165	9303
39041	204826	44462
39043	74615	29868
39049	1310300	239639
39053	29979	6472
39055	94031	23481
39057	167995	40077
39061	816684	200053
39063	75930	14245
39077	58504	11894
39083	61893	11649
39085	230514	101125
39089	175769	25244
39091	45358	9883
39093	309461	62454
39095	429899	126851
39097	44413	9442
39099	229642	56135
39101	65256	16184
39103	179146	42068
39109	106222	25776
39113	532331	11527
39133	162927	33371
39139	121099	24497
39143	58799	14518
39151	371574	64922
39153	541918	131269
39155	198627	32637
39157	92176	163
39159	57835	12891
39165	232173	56456
39167	60155	96
39173	130696	21052
40017	144447	15247
40027	281669	51364
40039	29036	2954
40049	27811	3469
40051	55551	4973
40065	24949	3163
40071	44161	488
40083	47291	619
40087	39985	677
40101	68362	8524
40103	11289	1559
40109	792582	110332
40117	16390	2892
40119	82040	11905
40123	38247	5324
40143	648360	11272
40147	51843	12517
41003	92101	13282
41005	416075	21696
41017	191996	5985
41019	110283	2151
41023	7176	159
41027	23428	4432
41029	219564	7698
41033	87393	5213
41035	67653	1116
41039	379611	8102
41043	127335	5365
41047	346868	28381
41051	811880	185173
41053	85234	10992
41059	77516	2391
41061	26461	1278
41067	597695	80336
41071	107002	14503
42001	102811	1967
42003	1218452	167868
42007	164742	38392
42011	420152	48644
42017	628195	103651
42019	187888	23658
42021	131730	19547
42027	162805	14545
42029	522046	68907
42037	65456	13707
42041	251423	45362
42043	277097	52284
42045	564751	306525
42049	272061	34533
42051	130441	16738
42055	154835	1991
42069	210793	46061
42071	543557	5704
42075	141314	38325
42077	368100	105055
42079	317646	35704
42085	110683	16746
42089	169507	27551
42091	828604	170028
42093	18240	14046
42095	304807	81634
42101	1584138	1174873
42103	55933	10184
42105	16622	1566
42107	142067	18437
42125	207346	24218
42127	51276	7102
42129	350611	34524
42133	448273	49107
45001	24541	5027
45003	169401	15585
45007	200482	27396
45013	188715	31696
45015	221091	19026
45017	14520	386
45019	405905	43086
45023	32251	5567
45027	33700	5605
45029	37660	3556
45031	66802	11985
45033	30599	7625
45035	160647	27122
45037	27052	5349
45039	22402	3309
45041	138159	17321
45043	62249	7572
45045	514213	63481
45047	70741	15452
45051	344147	28302
45053	28971	4257
45055	65592	8858
45057	95380	16306
45061	17142	4292
45063	295032	40966
45069	26398	5656
45071	38520	6042
45073	78374	12245
45075	86934	7997
45077	124937	24727
45079	414576	53927
45081	20544	4483
45083	313888	37404
45085	106512	16088
45091	274118	38002
46005	18883	146
46009	6980	1236
46013	39316	2267
46023	9338	851
46029	28015	4066
46035	19790	4569
46065	17650	2376
46085	3821	236
46087	5546	96
46099	192876	23137
46103	111729	3936
47001	76482	22474
47009	131349	22989
47011	106727	31803
47013	39583	8265
47017	28020	4675
47021	40439	13202
47023	17276	6002
47029	35774	8131
47035	59673	861
47037	692587	135709
47043	53446	10612
47045	37320	7334
47047	40507	5632
47051	41890	7486
47053	49045	8159
47059	69087	11037
47063	64569	39546
47065	364286	65915
47083	8263	4082
47089	54012	19428
47093	465289	89762
47105	53054	22516
47107	53285	12269
47115	28575	5704
47119	94340	14642
47123	46357	7218
47125	205950	36423
47135	8064	1908
47141	78843	19057
47145	53140	14665
47147	71012	14559
47149	324890	49588
47151	22039	4124
47155	97892	16251
47157	935764	122777
47163	157668	37917
47165	187149	33898
47167	61581	13405
47179	128607	38918
47187	231729	3753
47189	140625	23241
48021	86976	9298
48027	355642	32562
48029	1986049	155334
48037	94324	10605
48039	370200	26073
48041	226758	3744
48049	37924	4006
48061	423908	47339
48067	30119	3211
48069	7665	871
48085	1005146	112259
48103	4794	616
48113	2637772	296868
48117	18760	1263
48121	859064	91874
48123	20187	2248
48139	179436	18048
48141	840758	82715
48147	35286	3836
48157	787858	85822
48167	337890	8645
48183	123707	45186
48201	4698619	270184
48209	222631	30112
48219	22980	255
48251	171361	22558
48285	20110	2056
48303	307412	33659
48309	254607	23954
48321	36552	3339
48325	50921	3722
48329	172578	18238
48339	590925	53223
48343	12339	493
48359	2131	139
48375	119648	13309
48401	54450	58
48423	230221	2442
48439	2084931	2339
48453	1248743	121507
48459	41260	6994
48467	56019	6453
48479	275910	8093
48485	132064	20998
48491	566719	4713
49003	54950	922
49005	127068	10503
49011	351713	114005
49021	52775	1507
49035	1152633	150995
49043	41933	2164
49045	69907	939
49049	622213	29471
49051	33240	2597
49053	171700	6616
49057	256359	43003
50001	36973	482
50003	35631	5322
50007	164572	30201
50011	49421	7736
50017	28999	4212
50021	58672	6375
50023	58140	8509
50025	42756	5495
50027	55286	5718
51001	32412	7284
51003	108718	14757
51009	31666	6727
51013	237521	892426
51019	78747	10346
51023	33277	6139
51036	6941	3826
51041	348556	80191
51047	51859	13303
51059	1150795	292486
51065	26783	9189
51067	56195	8145
51073	37349	17061
51075	23244	7989
51085	107239	22293
51087	329261	139344
51093	36953	11524
51095	76397	5206
51105	23541	5541
51107	406850	74704
51109	36778	7129
51117	30650	4932
51147	22950	656
51153	468011	135775
51163	22752	3767
51165	81244	9356
51177	134238	32731
51179	149960	53545
51199	67846	64504
51510	160530	1041492
51540	48117	459466
51590	40693	96688
51660	54033	306526
51700	178626	262167
51710	244076	453788
51740	94632	28322
51760	228783	374193
51800	91185	22281
51810	450189	180765
51830	14896	16391
53001	19759	1011
53005	201877	11419
53007	77036	2594
53009	76737	4285
53011	481857	73987
53013	4059	461
53015	108987	9219
53017	42907	2274
53021	94347	7299
53025	97331	354
53027	73901	3784
53029	84460	39164
53031	31729	1711
53033	2233163	102254
53035	269805	66459
53037	47364	1951
53039	22107	1143
53041	79604	3202
53043	10740	452
53045	65507	6528
53053	891299	51503
53055	17128	9472
53057	128206	7157
53061	814901	37686
53063	514631	28228
53065	45260	1784
53067	286419	38047
53071	60922	4743
53073	225685	10291
53075	49791	2251
53077	251446	5804
54035	28706	6249
54037	56811	26799
54039	180454	20598
54051	30785	10361
54055	59131	14436
54061	106420	29232
54079	56682	16389
54093	6955	1677
55007	15042	1014
55009	263378	49043
55015	50159	15651
